Program Totals Report - Spring 2015,,,,,,,,
Open River - All Programs,,,,,,,,
,,,,,,,,
Open River - Adult,,,,,,,,
Program Code,Program Name,Minimum,Maximum,Enroll,Web Enroll,Waits,Open,Income
ARTClubS,Art Club - Spring Session,2,18,16,3,0,2,$395.00
KC,Knitting Club,6,12,6,1,0,6,$210.00
,,,,,,,,
Open River - Preschool,,,,,,,,
Program Code,Program Name,Minimum,Maximum,Enroll,Web Enroll,Waits,Open,Income
PSMWs,Open River Playschool M&W,6,8,8,0,0,0,"$2,400.00"
REC-KinderArtS,REC-Kinder Art,5,11,9,4,0,2,$810.00
,,,,,,,,
Open River - Youth,,,,,,,,
Program Code,Program Name,Minimum,Maximum,Enroll,Web Enroll,Waits,Open,Income
AACSpring,Afterschool Arts & Crafts,7,15,9,4,0,6,$495.00
AST,After School Tennis Gr. 1-3,6,20,20,9,2,0,$626.00
ASTK,After School Tennis Kindergarten,5,12,1,0,0,11,$25.00
FF10,Flag Football 10 & under,10,40,10,4,0,30,$2500.00
FF12,Flag Football 12 & under,10,40,12,4,0,28,$600.00
REC-ART1S6-8,REC-Art Class 1- Ages 6-8 years,5,12,12,10,4,0,"$1,200.00"
REC-ART2S9-12,REC-Art Class 2 Ages 9-12 years,5,11,7,7,0,4,$875.00
RECClass2-6-8yr,Art Class 4 Ages 6-8 years,5,11,8,2,0,3,$800.00
,,,,,,,,
